"","finalresultNormDV.Pr","finalresultNormDV.Interaction","finalresultNormDV.OutlierExclusion","finalresultNormDV.IndependentVariables","finalresultNormDV.Type","finalresultNormDV.SampleSize","finalresultNormBinDV.Pr","finalresultNormBinDV.Interaction","finalresultNormBinDV.OutlierExclusion","finalresultNormBinDV.IndependentVariables","finalresultNormBinDV.Type","finalresultNormBinDV.SampleSize"
"1",0.371,"In TRUE","SD TRUE",1,1,50,0.324,"In TRUE","SD TRUE",1,2,50
"2",0.356,"In TRUE","SD TRUE",1,1,100,0.328,"In TRUE","SD TRUE",1,2,100
"3",0.339,"In TRUE","SD TRUE",1,1,150,0.34,"In TRUE","SD TRUE",1,2,150
"4",0.378,"In TRUE","SD TRUE",1,1,200,0.312,"In TRUE","SD TRUE",1,2,200
"5",0.35,"In TRUE","SD TRUE",1,1,250,0.315,"In TRUE","SD TRUE",1,2,250
"6",0.365,"In TRUE","SD TRUE",1,1,300,0.334,"In TRUE","SD TRUE",1,2,300
"7",0.333,"In TRUE","SD TRUE",1,1,350,0.347,"In TRUE","SD TRUE",1,2,350
"8",0.346,"In TRUE","SD TRUE",1,1,400,0.347,"In TRUE","SD TRUE",1,2,400
"9",0.324,"In TRUE","SD TRUE",1,1,450,0.331,"In TRUE","SD TRUE",1,2,450
"10",0.335,"In TRUE","SD TRUE",1,1,500,0.353,"In TRUE","SD TRUE",1,2,500
"11",0.157,"In FALSE","SD TRUE",1,1,50,0.162,"In FALSE","SD TRUE",1,2,50
"12",0.191,"In FALSE","SD TRUE",1,1,100,0.188,"In FALSE","SD TRUE",1,2,100
"13",0.178,"In FALSE","SD TRUE",1,1,150,0.167,"In FALSE","SD TRUE",1,2,150
"14",0.175,"In FALSE","SD TRUE",1,1,200,0.165,"In FALSE","SD TRUE",1,2,200
"15",0.174,"In FALSE","SD TRUE",1,1,250,0.146,"In FALSE","SD TRUE",1,2,250
"16",0.17,"In FALSE","SD TRUE",1,1,300,0.152,"In FALSE","SD TRUE",1,2,300
"17",0.172,"In FALSE","SD TRUE",1,1,350,0.156,"In FALSE","SD TRUE",1,2,350
"18",0.17,"In FALSE","SD TRUE",1,1,400,0.184,"In FALSE","SD TRUE",1,2,400
"19",0.197,"In FALSE","SD TRUE",1,1,450,0.192,"In FALSE","SD TRUE",1,2,450
"20",0.192,"In FALSE","SD TRUE",1,1,500,0.155,"In FALSE","SD TRUE",1,2,500
"21",0.185,"In TRUE","SD FALSE",1,1,50,0.201,"In TRUE","SD FALSE",1,2,50
"22",0.192,"In TRUE","SD FALSE",1,1,100,0.177,"In TRUE","SD FALSE",1,2,100
"23",0.192,"In TRUE","SD FALSE",1,1,150,0.198,"In TRUE","SD FALSE",1,2,150
"24",0.195,"In TRUE","SD FALSE",1,1,200,0.202,"In TRUE","SD FALSE",1,2,200
"25",0.198,"In TRUE","SD FALSE",1,1,250,0.182,"In TRUE","SD FALSE",1,2,250
"26",0.2,"In TRUE","SD FALSE",1,1,300,0.186,"In TRUE","SD FALSE",1,2,300
"27",0.203,"In TRUE","SD FALSE",1,1,350,0.179,"In TRUE","SD FALSE",1,2,350
"28",0.188,"In TRUE","SD FALSE",1,1,400,0.173,"In TRUE","SD FALSE",1,2,400
"29",0.186,"In TRUE","SD FALSE",1,1,450,0.188,"In TRUE","SD FALSE",1,2,450
"30",0.2,"In TRUE","SD FALSE",1,1,500,0.193,"In TRUE","SD FALSE",1,2,500
"31",0.102,"In FALSE","SD FALSE",1,1,50,0.102,"In FALSE","SD FALSE",1,2,50
"32",0.094,"In FALSE","SD FALSE",1,1,100,0.085,"In FALSE","SD FALSE",1,2,100
"33",0.086,"In FALSE","SD FALSE",1,1,150,0.099,"In FALSE","SD FALSE",1,2,150
"34",0.102,"In FALSE","SD FALSE",1,1,200,0.111,"In FALSE","SD FALSE",1,2,200
"35",0.095,"In FALSE","SD FALSE",1,1,250,0.115,"In FALSE","SD FALSE",1,2,250
"36",0.095,"In FALSE","SD FALSE",1,1,300,0.09,"In FALSE","SD FALSE",1,2,300
"37",0.099,"In FALSE","SD FALSE",1,1,350,0.103,"In FALSE","SD FALSE",1,2,350
"38",0.114,"In FALSE","SD FALSE",1,1,400,0.096,"In FALSE","SD FALSE",1,2,400
"39",0.104,"In FALSE","SD FALSE",1,1,450,0.098,"In FALSE","SD FALSE",1,2,450
"40",0.083,"In FALSE","SD FALSE",1,1,500,0.083,"In FALSE","SD FALSE",1,2,500
"41",0.588,"In TRUE","SD TRUE",2,1,50,0.814,"In TRUE","SD TRUE",2,2,50
"42",0.593,"In TRUE","SD TRUE",2,1,100,0.888,"In TRUE","SD TRUE",2,2,100
"43",0.592,"In TRUE","SD TRUE",2,1,150,0.952,"In TRUE","SD TRUE",2,2,150
"44",0.607,"In TRUE","SD TRUE",2,1,200,0.978,"In TRUE","SD TRUE",2,2,200
"45",0.621,"In TRUE","SD TRUE",2,1,250,0.993,"In TRUE","SD TRUE",2,2,250
"46",0.639,"In TRUE","SD TRUE",2,1,300,0.995,"In TRUE","SD TRUE",2,2,300
"47",0.617,"In TRUE","SD TRUE",2,1,350,0.999,"In TRUE","SD TRUE",2,2,350
"48",0.585,"In TRUE","SD TRUE",2,1,400,0.998,"In TRUE","SD TRUE",2,2,400
"49",0.595,"In TRUE","SD TRUE",2,1,450,1,"In TRUE","SD TRUE",2,2,450
"50",0.573,"In TRUE","SD TRUE",2,1,500,1,"In TRUE","SD TRUE",2,2,500
"51",0.235,"In FALSE","SD TRUE",2,1,50,0.245,"In FALSE","SD TRUE",2,2,50
"52",0.214,"In FALSE","SD TRUE",2,1,100,0.226,"In FALSE","SD TRUE",2,2,100
"53",0.22,"In FALSE","SD TRUE",2,1,150,0.212,"In FALSE","SD TRUE",2,2,150
"54",0.207,"In FALSE","SD TRUE",2,1,200,0.225,"In FALSE","SD TRUE",2,2,200
"55",0.228,"In FALSE","SD TRUE",2,1,250,0.202,"In FALSE","SD TRUE",2,2,250
"56",0.25,"In FALSE","SD TRUE",2,1,300,0.201,"In FALSE","SD TRUE",2,2,300
"57",0.245,"In FALSE","SD TRUE",2,1,350,0.186,"In FALSE","SD TRUE",2,2,350
"58",0.255,"In FALSE","SD TRUE",2,1,400,0.213,"In FALSE","SD TRUE",2,2,400
"59",0.232,"In FALSE","SD TRUE",2,1,450,0.225,"In FALSE","SD TRUE",2,2,450
"60",0.225,"In FALSE","SD TRUE",2,1,500,0.214,"In FALSE","SD TRUE",2,2,500
"61",0.397,"In TRUE","SD FALSE",2,1,50,0.607,"In TRUE","SD FALSE",2,2,50
"62",0.41,"In TRUE","SD FALSE",2,1,100,0.792,"In TRUE","SD FALSE",2,2,100
"63",0.372,"In TRUE","SD FALSE",2,1,150,0.889,"In TRUE","SD FALSE",2,2,150
"64",0.383,"In TRUE","SD FALSE",2,1,200,0.945,"In TRUE","SD FALSE",2,2,200
"65",0.398,"In TRUE","SD FALSE",2,1,250,0.979,"In TRUE","SD FALSE",2,2,250
"66",0.423,"In TRUE","SD FALSE",2,1,300,0.995,"In TRUE","SD FALSE",2,2,300
"67",0.399,"In TRUE","SD FALSE",2,1,350,0.995,"In TRUE","SD FALSE",2,2,350
"68",0.369,"In TRUE","SD FALSE",2,1,400,0.998,"In TRUE","SD FALSE",2,2,400
"69",0.386,"In TRUE","SD FALSE",2,1,450,0.997,"In TRUE","SD FALSE",2,2,450
"70",0.397,"In TRUE","SD FALSE",2,1,500,0.999,"In TRUE","SD FALSE",2,2,500
"71",0.13,"In FALSE","SD FALSE",2,1,50,0.136,"In FALSE","SD FALSE",2,2,50
"72",0.126,"In FALSE","SD FALSE",2,1,100,0.132,"In FALSE","SD FALSE",2,2,100
"73",0.14,"In FALSE","SD FALSE",2,1,150,0.131,"In FALSE","SD FALSE",2,2,150
"74",0.111,"In FALSE","SD FALSE",2,1,200,0.115,"In FALSE","SD FALSE",2,2,200
"75",0.13,"In FALSE","SD FALSE",2,1,250,0.124,"In FALSE","SD FALSE",2,2,250
"76",0.133,"In FALSE","SD FALSE",2,1,300,0.118,"In FALSE","SD FALSE",2,2,300
"77",0.139,"In FALSE","SD FALSE",2,1,350,0.139,"In FALSE","SD FALSE",2,2,350
"78",0.127,"In FALSE","SD FALSE",2,1,400,0.13,"In FALSE","SD FALSE",2,2,400
"79",0.146,"In FALSE","SD FALSE",2,1,450,0.139,"In FALSE","SD FALSE",2,2,450
"80",0.116,"In FALSE","SD FALSE",2,1,500,0.145,"In FALSE","SD FALSE",2,2,500
"81",0.767,"In TRUE","SD TRUE",3,1,50,0.927,"In TRUE","SD TRUE",3,2,50
"82",0.781,"In TRUE","SD TRUE",3,1,100,0.987,"In TRUE","SD TRUE",3,2,100
"83",0.8,"In TRUE","SD TRUE",3,1,150,0.994,"In TRUE","SD TRUE",3,2,150
"84",0.785,"In TRUE","SD TRUE",3,1,200,0.998,"In TRUE","SD TRUE",3,2,200
"85",0.797,"In TRUE","SD TRUE",3,1,250,1,"In TRUE","SD TRUE",3,2,250
"86",0.784,"In TRUE","SD TRUE",3,1,300,1,"In TRUE","SD TRUE",3,2,300
"87",0.803,"In TRUE","SD TRUE",3,1,350,1,"In TRUE","SD TRUE",3,2,350
"88",0.822,"In TRUE","SD TRUE",3,1,400,1,"In TRUE","SD TRUE",3,2,400
"89",0.799,"In TRUE","SD TRUE",3,1,450,1,"In TRUE","SD TRUE",3,2,450
"90",0.798,"In TRUE","SD TRUE",3,1,500,1,"In TRUE","SD TRUE",3,2,500
"91",0.278,"In FALSE","SD TRUE",3,1,50,0.306,"In FALSE","SD TRUE",3,2,50
"92",0.269,"In FALSE","SD TRUE",3,1,100,0.264,"In FALSE","SD TRUE",3,2,100
"93",0.299,"In FALSE","SD TRUE",3,1,150,0.254,"In FALSE","SD TRUE",3,2,150
"94",0.311,"In FALSE","SD TRUE",3,1,200,0.266,"In FALSE","SD TRUE",3,2,200
"95",0.27,"In FALSE","SD TRUE",3,1,250,0.257,"In FALSE","SD TRUE",3,2,250
"96",0.292,"In FALSE","SD TRUE",3,1,300,0.264,"In FALSE","SD TRUE",3,2,300
"97",0.294,"In FALSE","SD TRUE",3,1,350,0.257,"In FALSE","SD TRUE",3,2,350
"98",0.304,"In FALSE","SD TRUE",3,1,400,0.263,"In FALSE","SD TRUE",3,2,400
"99",0.278,"In FALSE","SD TRUE",3,1,450,0.267,"In FALSE","SD TRUE",3,2,450
"100",0.271,"In FALSE","SD TRUE",3,1,500,0.261,"In FALSE","SD TRUE",3,2,500
"101",0.563,"In TRUE","SD FALSE",3,1,50,0.809,"In TRUE","SD FALSE",3,2,50
"102",0.534,"In TRUE","SD FALSE",3,1,100,0.942,"In TRUE","SD FALSE",3,2,100
"103",0.525,"In TRUE","SD FALSE",3,1,150,0.977,"In TRUE","SD FALSE",3,2,150
"104",0.532,"In TRUE","SD FALSE",3,1,200,0.99,"In TRUE","SD FALSE",3,2,200
"105",0.573,"In TRUE","SD FALSE",3,1,250,0.998,"In TRUE","SD FALSE",3,2,250
"106",0.532,"In TRUE","SD FALSE",3,1,300,1,"In TRUE","SD FALSE",3,2,300
"107",0.555,"In TRUE","SD FALSE",3,1,350,1,"In TRUE","SD FALSE",3,2,350
"108",0.558,"In TRUE","SD FALSE",3,1,400,1,"In TRUE","SD FALSE",3,2,400
"109",0.516,"In TRUE","SD FALSE",3,1,450,1,"In TRUE","SD FALSE",3,2,450
"110",0.568,"In TRUE","SD FALSE",3,1,500,1,"In TRUE","SD FALSE",3,2,500
"111",0.153,"In FALSE","SD FALSE",3,1,50,0.144,"In FALSE","SD FALSE",3,2,50
"112",0.166,"In FALSE","SD FALSE",3,1,100,0.184,"In FALSE","SD FALSE",3,2,100
"113",0.15,"In FALSE","SD FALSE",3,1,150,0.177,"In FALSE","SD FALSE",3,2,150
"114",0.169,"In FALSE","SD FALSE",3,1,200,0.181,"In FALSE","SD FALSE",3,2,200
"115",0.158,"In FALSE","SD FALSE",3,1,250,0.142,"In FALSE","SD FALSE",3,2,250
"116",0.164,"In FALSE","SD FALSE",3,1,300,0.151,"In FALSE","SD FALSE",3,2,300
"117",0.174,"In FALSE","SD FALSE",3,1,350,0.16,"In FALSE","SD FALSE",3,2,350
"118",0.162,"In FALSE","SD FALSE",3,1,400,0.162,"In FALSE","SD FALSE",3,2,400
"119",0.155,"In FALSE","SD FALSE",3,1,450,0.163,"In FALSE","SD FALSE",3,2,450
"120",0.19,"In FALSE","SD FALSE",3,1,500,0.163,"In FALSE","SD FALSE",3,2,500
"121",0.883,"In TRUE","SD TRUE",4,1,50,0.973,"In TRUE","SD TRUE",4,2,50
"122",0.897,"In TRUE","SD TRUE",4,1,100,0.997,"In TRUE","SD TRUE",4,2,100
"123",0.904,"In TRUE","SD TRUE",4,1,150,1,"In TRUE","SD TRUE",4,2,150
"124",0.884,"In TRUE","SD TRUE",4,1,200,1,"In TRUE","SD TRUE",4,2,200
"125",0.896,"In TRUE","SD TRUE",4,1,250,1,"In TRUE","SD TRUE",4,2,250
"126",0.905,"In TRUE","SD TRUE",4,1,300,1,"In TRUE","SD TRUE",4,2,300
"127",0.896,"In TRUE","SD TRUE",4,1,350,1,"In TRUE","SD TRUE",4,2,350
"128",0.895,"In TRUE","SD TRUE",4,1,400,1,"In TRUE","SD TRUE",4,2,400
"129",0.893,"In TRUE","SD TRUE",4,1,450,1,"In TRUE","SD TRUE",4,2,450
"130",0.902,"In TRUE","SD TRUE",4,1,500,1,"In TRUE","SD TRUE",4,2,500
"131",0.325,"In FALSE","SD TRUE",4,1,50,0.331,"In FALSE","SD TRUE",4,2,50
"132",0.332,"In FALSE","SD TRUE",4,1,100,0.294,"In FALSE","SD TRUE",4,2,100
"133",0.318,"In FALSE","SD TRUE",4,1,150,0.308,"In FALSE","SD TRUE",4,2,150
"134",0.348,"In FALSE","SD TRUE",4,1,200,0.304,"In FALSE","SD TRUE",4,2,200
"135",0.326,"In FALSE","SD TRUE",4,1,250,0.304,"In FALSE","SD TRUE",4,2,250
"136",0.307,"In FALSE","SD TRUE",4,1,300,0.304,"In FALSE","SD TRUE",4,2,300
"137",0.334,"In FALSE","SD TRUE",4,1,350,0.306,"In FALSE","SD TRUE",4,2,350
